idtaxi;endereco;telefone;longitude;latitude
12177;R PRESIDENTE JUAREZ 200;0;-51,1463;-30,0042
12178;R VITORIO FRANCISCO GIORDANI 300;0;-51,1356;-30,011
12179;AV SERTORIO 6767;0;-51,1407;-29,9981
12180;R SERGIO JUNGBLUT DIETRICH 10;0;-51,1425;-29,997
12181;AV SERTORIO 6600;0;-51,1417;-29,9971
12182;AV DANTE ANGELO PILLA 98;0;-51,1192;-30,015
12183;AV ASSIS BRASIL 6476;0;-51,1299;-29,9946
12184;AV DOS GAUCHOS 2049;0;-51,1289;-29,9935
12185;AV ASSIS BRASIL 7625;0;-51,1205;-29,9865
12186;R TANAUI DA SILVA BOEIRA 10;0;-51,1043;-30,124
12187;AV JOAO DE OLIVEIRA REMIAO 8640;0;-51,0953;-30,1348
12188;AV ADELINO FERREIRA JARDIM 15;0;-51,1072;-30,0212
12189;R ROMAGUEIRA DA CUNHA CORREIA 11;0;-51,1118;-30,0155
12190;R BERNARDINO SILVEIRA DE AMORIM 3450;0;-51,0968;-30,0059
12191;AV ASSIS BRASIL 8282;0;-51,1152;-29,982
